,dice_loss,accuracy
0,0.7838089068730673,0.8740174770355225
1,0.7334894140561422,0.8976526061693827
2,0.687662680943807,0.88045734167099
3,0.6557938655217489,0.8831712404886881
4,0.6388328075408936,0.8969927628835043
5,0.6070800622304281,0.8863564928372701
6,0.5943571130434672,0.9017630020777384
7,0.5753358602523804,0.9006535808245341
8,0.5559209585189819,0.8845776120821635
9,0.5485063989957174,0.9107269247372946
10,0.565417210261027,0.9080413579940796
11,0.535850981871287,0.9223934412002563
12,0.5184959570566813,0.9100807507832845
13,0.5083449085553488,0.9043571949005127
14,0.491554319858551,0.9133714238802592
15,0.4948675036430359,0.9140161275863647
16,0.49221404393513996,0.9191240072250366
17,0.4988613923390706,0.9147007067998251
18,0.4719892938931783,0.9133158127466837
19,0.46341941754023236,0.9203118085861206
